NO,SEX,AGE,MSTATUS,CHILD,NOCHILD,EDU,OCC,INCOME,NOINCOM,HPROB,WELFARE,ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,ATT14,ATT15,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,NEED7,NEED8,NEED9,NEED10,HUSED,HTYPE,HTYPE1,HTYPE2,HTYPE3,HTYPE4,HTYPE5,HTYPE6,HTYPE7,HTYPE8,HTYPE9,HTYPE10,HTYPE11,HFREQUSE,SUM_ATT,SUM_NEED
56,2,36,2,2,1,3,4,2,11000,1,2,5,5,5,4,5,4,1,4,3,4,4,4,4,4,4,3,4,4,3,3,3,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,35
57,2,42,2,2,2,2,6,2,3000,2,3,5,5,5,5,5,5,2,2,3,2,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,40
58,2,39,2,2,1,2,6,2,9000,2,3,5,5,5,4,4,4,2,4,4,4,5,5,1,4,2,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,5,44,40
59,2,41,2,1,NA,4,7,2,5000,1,2,5,4,4,4,4,4,2,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,38
60,1,38,1,1,NA,3,3,2,6000,1,2,5,5,4,4,5,4,2,5,5,5,4,4,5,4,4,3,4,4,4,4,3,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,38
61,2,50,2,2,2,2,5,2,7000,1,2,4,4,4,5,5,4,2,4,2,4,4,4,4,4,5,3,3,3,3,4,3,4,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,32
62,1,52,2,2,1,2,5,2,9000,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
63,2,41,2,1,NA,4,7,2,5000,1,2,5,4,4,4,4,4,2,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,38
64,1,38,1,1,NA,3,3,2,6000,1,2,5,5,4,4,5,4,2,5,5,5,4,4,5,4,4,3,4,4,4,4,3,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,38
65,2,50,2,2,2,2,5,2,7000,1,2,4,4,4,5,5,4,2,4,2,4,4,4,4,4,5,3,3,3,3,4,3,4,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,32
66,1,52,2,2,1,2,5,2,9000,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
67,1,47,1,1,NA,3,6,2,5000,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,37
68,2,52,2,2,1,2,5,2,9000,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,40
69,2,46,2,2,2,2,3,2,6000,1,2,5,4,4,4,4,4,3,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
70,2,58,2,2,2,2,5,2,9000,1,2,5,4,4,4,5,4,2,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,40
71,1,58,2,2,2,2,6,2,6500,1,2,5,5,5,5,5,4,1,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,37
72,2,59,2,2,3,2,5,2,5000,2,2,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
73,1,56,2,2,2,2,6,2,7500,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
74,1,59,2,2,4,2,6,2,10000,1,2,5,4,4,4,4,4,2,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
75,2,21,1,1,NA,5,8,1,NA,1,2,5,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,40
76,2,24,2,2,1,5,5,2,9000,1,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,33
77,1,38,1,1,NA,3,3,2,6000,1,2,5,5,4,4,5,4,2,5,5,5,4,4,5,4,4,3,4,4,4,4,3,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,38
78,2,50,2,2,2,2,5,2,7000,1,2,4,4,4,5,5,4,2,4,2,4,4,4,4,4,5,3,3,3,3,4,3,4,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,32
79,1,52,2,2,1,2,5,2,9000,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,40
80,1,47,1,1,NA,3,6,2,5000,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,37
